Date,Category,Amount,Payment_Mode
2023-08-28 10:30:13,Others,825.0,Card
2023-09-16 12:13:55,Shopping,1675.0,Card
2023-09-14 20:25:25,Food,3119.0,Card
2023-01-04 03:30:36,Food,467.0,UPI
2023-02-11 11:45:02,Shopping,164.0,UPI
2023-11-12 12:35:29,Shopping,666.0,UPI
2023-03-26 06:36:09,Shopping,4024.0,UPI
2023-08-09 19:04:11,Bills,3317.0,UPI
2023-04-10 08:49:37,,875.0,UPI
2023-08-13 22:48:41,Food,,UPI
2023-07-28 21:35:57,Bills,,Card
2023-08-26 19:22:11,Shopping,462.0,Card
2023-07-26 07:06:53,Food,778.0,Card
2023-02-05 06:27:42,Bills,3398.0,Card
2023-11-06 14:37:02,,2858.0,UPI
2023-05-08 00:13:59,Bills,725.0,Cash
2023-01-07 12:51:25,,3515.0,UPI
2023-02-03 07:46:30,Shopping,2554.0,Cash
2023-09-16 22:53:47,,3017.0,Card
2023-11-03 10:52:40,Food,2836.0,UPI
2023-01-12 15:48:13,Shopping,1172.0,Card
2023-09-07 10:29:59,Food,4129.0,UPI
2023-02-08 23:10:12,Others,1621.0,Card
2023-10-19 12:57:51,Travel,2193.0,Cash
2023-09-13 03:26:36,,1737.0,Cash
2023-10-12 13:02:09,Travel,4182.0,Cash
2023-02-01 07:10:38,Travel,3901.0,UPI
2023-01-31 10:45:08,,,Cash
2023-02-10 10:44:39,Shopping,3816.0,UPI
2023-09-16 00:53:45,Others,2376.0,Cash
2023-08-03 15:20:56,Food,2964.0,Cash
2023-09-30 00:03:07,Bills,4002.0,UPI
2023-06-30 15:02:19,Food,645.0,UPI
2023-05-08 08:12:28,Bills,778.0,Cash
2023-01-15 20:59:20,Food,1415.0,UPI
2023-12-25 11:03:56,,4542.0,Cash
2023-09-22 13:22:22,Others,748.0,UPI
2023-03-01 20:57:16,Bills,445.0,Card
2023-07-30 16:18:08,Shopping,4221.0,Card
2023-01-01 13:36:24,Food,4410.0,Card
2023-05-05 20:51:18,Food,2552.0,Card
2023-03-17 21:09:28,Bills,1869.0,Card
2023-11-26 01:41:43,Shopping,767.0,Cash
2023-07-31 14:13:20,Shopping,2832.0,Card
2023-06-19 04:09:15,,4996.0,Card
2023-08-09 00:02:15,,3627.0,Card
2023-10-02 12:08:55,,,Card
2023-11-08 13:12:30,,3190.0,UPI
2023-05-28 05:07:22,,4541.0,Cash
2023-06-25 11:20:18,,2988.0,Card
2023-07-05 12:51:28,Others,3686.0,Card
2023-01-21 02:31:35,Shopping,3272.0,Card
2023-05-02 12:35:46,,,Cash
2023-02-25 07:54:10,Shopping,2666.0,UPI
2023-10-08 15:09:20,Shopping,1112.0,Cash
2023-08-07 14:23:54,Travel,2206.0,UPI
2023-07-05 12:37:24,Others,3032.0,Card
2023-08-09 00:16:41,,3344.0,Card
2023-12-10 03:52:06,Food,4779.0,Cash
2023-05-12 05:04:57,Bills,1206.0,Cash
2023-11-19 19:42:32,Food,782.0,UPI
2023-02-14 14:22:19,Others,4380.0,UPI
2023-07-05 08:10:46,Bills,4896.0,Cash
2023-11-09 14:33:44,Others,1003.0,UPI
2023-10-31 18:15:35,Shopping,2589.0,Cash
2023-07-25 17:02:03,Bills,3374.0,UPI
2023-05-18 20:20:49,Shopping,3351.0,Cash
2023-03-24 12:35:44,Food,,Cash
2023-02-22 14:39:43,Food,1241.0,Cash
2023-06-30 11:39:34,Bills,3043.0,UPI
2023-11-09 22:00:54,Bills,2731.0,UPI
2023-08-26 13:16:45,,1267.0,UPI
2023-08-31 03:07:03,Others,1590.0,Cash
2023-04-03 10:53:24,,3286.0,UPI
2023-06-01 07:14:42,Others,2436.0,UPI
2023-09-24 11:04:11,,3769.0,Cash
2023-08-24 20:58:15,Shopping,1438.0,Card
2023-03-05 20:13:09,Bills,1906.0,Cash
2023-08-07 17:41:46,Food,1415.0,UPI
2023-11-22 21:31:14,Others,549.0,Cash
2023-06-22 05:48:48,Others,1730.0,Card
2023-01-06 16:27:14,Food,560.0,Cash
2023-04-30 15:21:08,,4362.0,UPI
2023-05-28 05:54:54,Others,1374.0,Card
2023-04-25 16:41:49,Shopping,1205.0,UPI
2023-09-14 16:40:34,Bills,1877.0,Card
2023-05-28 18:22:56,Food,3191.0,Card
2023-05-29 02:42:12,Bills,3536.0,Cash
2023-11-24 13:49:13,Others,1860.0,Cash
2023-03-22 00:42:30,Others,2973.0,UPI
2023-09-23 13:28:30,Food,2264.0,Cash
2023-10-29 15:47:25,Shopping,4236.0,Cash
2023-03-21 22:32:06,Travel,763.0,Card
2023-03-10 03:46:34,Food,3652.0,Cash
2023-12-20 07:58:00,Travel,4184.0,Card
2023-10-09 15:49:34,,3572.0,Card
2023-03-17 08:27:05,Travel,4318.0,Card
2023-04-09 12:10:17,Shopping,4798.0,UPI
2023-04-02 07:02:19,,4899.0,UPI
2023-11-11 14:42:20,Travel,1293.0,UPI
2023-11-15 11:29:54,,3759.0,Card
2023-01-09 21:46:38,Travel,1131.0,UPI
2023-09-13 10:35:11,Shopping,505.0,UPI
2023-06-28 20:28:22,Travel,4974.0,Cash
2023-11-26 02:14:08,Travel,944.0,UPI
2023-04-03 06:16:19,Travel,,UPI
2023-02-08 13:17:48,Food,2008.0,Card
2023-02-07 16:33:35,Food,3122.0,Card
2023-01-11 02:52:51,Food,2046.0,Card
2023-03-07 10:37:17,Shopping,4335.0,Card
2023-11-21 01:24:52,,554.0,Card
2023-12-20 04:16:22,Others,1264.0,Card
2023-05-22 22:00:06,Travel,1581.0,UPI
2023-07-25 10:46:04,Travel,3490.0,Card
2023-02-08 16:53:34,Shopping,873.0,Card
2023-10-03 22:46:02,Travel,978.0,Cash
2023-04-22 03:14:43,Food,183.0,UPI
2023-09-24 03:03:40,Others,2155.0,UPI
2023-11-28 10:31:59,Bills,3677.0,UPI
2023-09-12 06:59:18,Travel,4830.0,Card
2023-02-04 05:57:14,Food,1902.0,Card
2023-12-29 03:16:02,Bills,4960.0,Card
2023-09-05 02:58:29,Others,4225.0,Cash
2023-09-29 19:23:07,Bills,2983.0,Card
2023-01-01 12:06:25,Food,3334.0,Cash
2023-12-23 06:01:13,,4348.0,UPI
2023-06-20 15:35:08,,2861.0,Card
2023-11-23 15:43:57,Bills,1300.0,Cash
2023-01-30 09:24:08,Shopping,3562.0,Cash
2023-07-15 10:46:12,Bills,1306.0,Card
2023-08-01 09:59:33,Travel,3426.0,UPI
2023-06-19 11:46:35,Travel,3536.0,UPI
2023-12-04 21:14:03,,3634.0,UPI
2023-12-09 03:12:43,Shopping,1446.0,Cash
2023-05-02 15:54:59,Food,3687.0,Cash
2023-04-07 03:21:01,Travel,3380.0,Cash
2023-01-24 06:03:41,,2753.0,Cash
2023-01-14 21:44:42,Others,520.0,UPI
2023-07-20 10:59:11,,1403.0,Card
2023-05-17 20:03:05,Travel,2833.0,Cash
2023-09-01 14:28:06,Travel,2881.0,Cash
2023-09-29 17:33:15,,407.0,UPI
2023-08-24 09:28:56,Food,3069.0,Card
2023-10-01 13:53:42,Bills,717.0,Card
2023-01-29 18:06:53,Travel,4518.0,UPI
2023-02-03 15:36:00,,1195.0,UPI
2023-11-20 11:26:56,,4235.0,Card
2023-03-10 05:39:04,Shopping,3769.0,Cash
2023-12-18 05:01:14,Bills,2795.0,Card
2023-09-18 02:58:05,Others,589.0,UPI
2023-01-26 20:50:00,Food,2829.0,Cash
2023-10-02 03:22:27,Others,4186.0,Cash
2023-02-20 00:37:32,Bills,4885.0,UPI
2023-03-09 09:16:24,Bills,3825.0,UPI
2023-01-05 15:51:30,Bills,2558.0,UPI
2023-12-12 14:12:54,Others,2829.0,Card
2023-01-30 11:53:41,Bills,974.0,Card
2023-05-26 21:21:11,,3006.0,Cash
2023-05-22 03:33:46,Others,50000.0,UPI
2023-06-16 10:55:04,Bills,3374.0,Cash
2023-01-23 14:48:29,,4535.0,Cash
2023-06-16 22:01:08,Shopping,305.0,Cash
2023-09-03 08:54:56,Bills,,Cash
2023-05-14 02:49:22,Others,1888.0,UPI
2023-07-08 06:27:53,Travel,1994.0,Cash
2023-03-25 09:32:27,Bills,59.0,UPI
2023-09-26 12:36:44,Shopping,1743.0,UPI
2023-07-06 06:41:18,,1732.0,UPI
2023-09-27 23:57:30,Food,4802.0,Card
2023-11-07 20:42:47,Bills,,Cash
2023-09-02 00:03:08,Food,880.0,Cash
